MIEJSCOWOŚĆ 	 WIELKOŚĆ 	 ODLEGŁOŚĆ DO MORZA 	 NAZWA 	 DATA 	 CENA ZA CAŁOŚĆ 	 CENA ZA DZIEŃ 	 NR TELEFONU 	 LINK 
Białogóra 	 359 	 1.90 km 	 Noce i dnie 	 17.08.2020 - 26.08.2020 	 € 651.43 	 72.38 	 --- 	 https://www.booking.com/hotel/pl/noce-i-dnie.html?label=gen173nr-1FCAEoggI46AdIM1gEaDuIAQGYATG4ARnIAQzYAQHoAQH4AQKIAgGoAgO4ArHnp_kFwAIB0gIkNDcxYzExNmYtNmQxOC00NzI2LWEyMjQtNTYxODk4YzM5ZjQx2AIF4AIB&sid=013fb76f2d1f83feb2f1c912c76903e2&age=15&age=15&all_sr_blocks=364534909_201209894_4_0_0%2C364534916_201209894_3_0_0&checkin=2020-08-17&checkout=2020-08-26&dest_id=-493430&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=4&group_children=2&hapos=1&highlighted_blocks=364534909_201209894_4_0_0%2C364534916_201209894_3_0_0&hpos=1&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=364534909_201209894_4_0_0__145260%2C364534916_201209894_3_0_0__142379&srepoch=1596584912&srpvid=3bf2a76825a00113&ucfs=1&from=searchresults#hotelTmpl 
Białogóra 	 359 	 1.90 km 	 Pokoje Gościnne Martynka 	 17.08.2020 - 26.08.2020 	 $832.60 	 92.51 	 --- 	 https://www.booking.com/hotel/pl/pokoje-goscinne-martynka.html?label=gen173nr-1FCAEoggI46AdIM1gEaDuIAQGYATG4ARnIAQzYAQHoAQH4AQKIAgGoAgO4ArHnp_kFwAIB0gIkNDcxYzExNmYtNmQxOC00NzI2LWEyMjQtNTYxODk4YzM5ZjQx2AIF4AIB&sid=013fb76f2d1f83feb2f1c912c76903e2&age=15&age=15&all_sr_blocks=534739905_240501573_3_0_0%2C534739902_240501573_3_0_0&checkin=2020-08-17&checkout=2020-08-26&dest_id=-493430&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=4&group_children=2&hapos=3&highlighted_blocks=534739905_240501573_3_0_0%2C534739902_240501573_3_0_0&hpos=3&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=534739905_240501573_3_0_0__159660%2C534739902_240501573_3_0_0__163260&srepoch=1596584912&srpvid=3bf2a76825a00113&ucfs=1&from=searchresults#hotelTmpl 
Białogóra 	 359 	 1.90 km 	 Pokoje gościnne Bursztynowa 	 17.08.2020 - 26.08.2020 	 $1,052.72 	 116.97 	 --- 	 https://www.booking.com/hotel/pl/pensjonat-bursztynowa.html?label=gen173nr-1FCAEoggI46AdIM1gEaDuIAQGYATG4ARnIAQzYAQHoAQH4AQKIAgGoAgO4ArHnp_kFwAIB0gIkNDcxYzExNmYtNmQxOC00NzI2LWEyMjQtNTYxODk4YzM5ZjQx2AIF4AIB&sid=013fb76f2d1f83feb2f1c912c76903e2&age=15&age=15&all_sr_blocks=506591719_176155081_2_0_0%2C506591720_176155081_4_0_0&checkin=2020-08-17&checkout=2020-08-26&dest_id=-493430&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=4&group_children=2&hapos=2&highlighted_blocks=506591719_176155081_2_0_0%2C506591720_176155081_4_0_0&hpos=2&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=506591719_176155081_2_0_0__190979%2C506591720_176155081_4_0_0__203760&srepoch=1596584912&srpvid=3bf2a76825a00113&ucfs=1&from=searchresults#hotelTmpl 
Bielkowo 	 0 	 2.72 km 	 Vacation Homebielkowo zachodniopomorskie 	 17.08.2020 - 26.08.2020 	 € 700.40 	 77.82 	 --- 	 https://www.booking.com/hotel/pl/bielkowo-zachodniopomorskie.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYATG4ARjIAQzYAQHoAQH4AQKIAgGoAgS4Apvpp_kFwAIB0gIkYjBlZDJlMDItZDUxYy00NDA5LTk3NTgtYmFkY2NlOTg4ODY22AIF4AIB&sid=4ebf7a6121735bdae5ec51eeb9b52643&age=15&age=15&all_sr_blocks=466637201_147710026_6_0_0&checkin=2020-08-17&checkout=2020-08-26&dest_id=-493682&dest_type=city&group_adults=4&group_children=2&hapos=1&highlighted_blocks=466637201_147710026_6_0_0&hpos=1&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=466637201_147710026_6_0_0__309258&srepoch=1596585138&srpvid=1c0fa7d8e483011a&ucfs=1&from=searchresults#hotelTmpl 
Bobolin 	 0 	 1.15 km 	 Pokoje Gościnne Wajer 	 17.08.2020 - 26.08.2020 	 € 756.20 	 84.02 	 --- 	 https://www.booking.com/hotel/pl/pokoje-goscinne-wajer.html?label=gen173nr-1FCAEoggI46AdIM1gEaDuIAQGYATG4ARjIAQzYAQHoAQH4AQKIAgGoAgS4AoLsp_kFwAIB0gIkOGQwYzBmZmItNjBkMC00YTgzLTkxMzUtM2ZjYzc4YTMzMzVk2AIF4AIB&sid=6b45ee3f2ba9a17301c2523624f0e50d&age=15&age=15&all_sr_blocks=375071505_237150742_4_0_0%2C375071507_237150742_2_0_0&checkin=2020-08-17&checkout=2020-08-26&dest_id=-494123&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=4&group_children=2&hapos=2&highlighted_blocks=375071505_237150742_4_0_0%2C375071507_237150742_2_0_0&hpos=2&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=375071505_237150742_4_0_0__201600%2C375071507_237150742_2_0_0__132300&srepoch=1596585558&srpvid=f6a0a8ab3c47009c&ucfs=1&from=searchresults#hotelTmpl 
Bobolin 	 0 	 1.15 km 	 Dworek Nadmorski 	 17.08.2020 - 26.08.2020 	 € 776.59 	 86.29 	 --- 	 https://www.booking.com/hotel/pl/dworek-nadmorski.html?label=gen173nr-1FCAEoggI46AdIM1gEaDuIAQGYATG4ARjIAQzYAQHoAQH4AQKIAgGoAgS4AoLsp_kFwAIB0gIkOGQwYzBmZmItNjBkMC00YTgzLTkxMzUtM2ZjYzc4YTMzMzVk2AIF4AIB&sid=6b45ee3f2ba9a17301c2523624f0e50d&age=15&age=15&all_sr_blocks=282391604_107357935_3_0_0%2C282391604_107357935_3_0_0&checkin=2020-08-17&checkout=2020-08-26&dest_id=-494123&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=4&group_children=2&hapos=1&highlighted_blocks=282391604_107357935_3_0_0%2C282391604_107357935_3_0_0&hpos=1&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=282391604_107357935_3_0_0__171450%2C282391604_107357935_3_0_0__171450&srepoch=1596585558&srpvid=f6a0a8ab3c47009c&ucfs=1&from=searchresults#hotelTmpl 
Borne Sulinowo 	 4349 	 1.78 km 	 Guesthouse Leśna Pustać 	 17.08.2020 - 26.08.2020 	 € 796.97 	 88.55 	 --- 	 https://www.booking.com/hotel/pl/lesna-pustac.html?label=gen173nr-1FCAEoggI46AdIM1gEaDuIAQGYATG4ARjIAQzYAQHoAQH4AQKIAgGoAgS4AoHvp_kFwAIB0gIkNmFiN2IxZmMtM2I2ZC00Njk4LTlkMGYtNjliMjQxNWE2YWUw2AIF4AIB&sid=43edb136cd5f315784fe139012c564b4&age=15&age=15&all_sr_blocks=642066309_260478386_4_2_0%2C642066302_260478386_2_2_0&checkin=2020-08-17&checkout=2020-08-26&dest_id=-531148&dest_type=city&group_adults=4&group_children=2&hapos=1&highlighted_blocks=642066309_260478386_4_2_0%2C642066302_260478386_2_2_0&hpos=1&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=642066309_260478386_4_2_0__207000%2C642066302_260478386_2_2_0__144899&srepoch=1596585886&srpvid=b6d5008e4ac800f8&ucfs=1&from=searchresults#hotelTmpl 
Brzezin 	 0 	 3.06 km 	 Pensjonat Europa 	 17.08.2020 - 26.08.2020 	 € 570.72 	 63.41 	 --- 	 https://www.booking.com/hotel/pl/pensjonat-europa.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYATG4ARjIAQzYAQHoAQH4AQKIAgGoAgS4Atf0p_kFwAIB0gIkYmZmZDcxOGYtMDcwNC00MTBmLWE4MGEtZDBhZGQ1YzljMzEz2AIF4AIB&sid=7a44926ef5995b3900bcca86b94bf5e2&age=15&age=15&all_sr_blocks=88418010_121000172_4_42_0%2C88418009_121000172_2_42_0&checkin=2020-08-17&checkout=2020-08-26&dest_id=-495559&dest_type=city&group_adults=4&group_children=2&hapos=1&highlighted_blocks=88418010_121000172_4_42_0%2C88418009_121000172_2_42_0&hpos=1&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=88418010_121000172_4_42_0__162000%2C88418009_121000172_2_42_0__89999&srepoch=1596586610&srpvid=02f501f9113e0008&ucfs=1&from=searchresults#hotelTmpl 
Charzykowy 	 0 	 0.49 km 	 Pensjonat Amber 	 17.08.2020 - 26.08.2020 	 € 713.40 	 79.27 	 --- 	 https://www.booking.com/hotel/pl/pensjonat-amber-charzykowy.html?label=gen173nr-1FCAEoggI46AdIM1gEaDuIAQGYATG4ARnIAQzYAQHoAQH4AQKIAgGoAgO4Avf8p_kFwAIB0gIkOWM1NWQyN2UtZjIwMC00YWVlLWEwOTUtMjExNWMxZDlkYWM32AIF4AIB&sid=d888d25373cf093cb8a098941aecfd31&age=15&age=15&all_sr_blocks=541166605_194137091_3_0_0%2C541166603_194137091_4_0_0&checkin=2020-08-17&checkout=2020-08-26&dest_id=-496687&dest_type=city&group_adults=4&group_children=2&hapos=1&highlighted_blocks=541166605_194137091_3_0_0%2C541166603_194137091_4_0_0&hpos=1&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=541166605_194137091_3_0_0__135000%2C541166603_194137091_4_0_0__179999&srepoch=1596587669&srpvid=6ecc040ad0200088&ucfs=1&from=searchresults#hotelTmpl 
Chłopy 	 0 	 2.41 km 	 Campground Pokoje Gościnne u Wandy 	 17.08.2020 - 26.08.2020 	 € 676.71 	 75.19 	 --- 	 https://www.booking.com/hotel/pl/pokoje-goscinne-u-wandy-chlopy.html?label=gen173nr-1FCAEoggI46AdIM1gEaDuIAQGYATG4ARjIAQzYAQHoAQH4AQKIAgGoAgS4As6CqPkFwAIB0gIkZjA2YWM2M2MtOTA1ZC00MGI5LWJkOTEtNzgzMWRmMjk0Mjdj2AIF4AIB&sid=91d85ca6437c62a00f320cc6d104bafa&age=15&age=15&all_sr_blocks=655663104_268911207_5_0_0%2C655663110_268911207_2_0_0&checkin=2020-08-17&checkout=2020-08-26&dest_id=-496827&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=4&group_children=2&hapos=1&highlighted_blocks=655663104_268911207_5_0_0%2C655663110_268911207_2_0_0&hpos=1&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=655663104_268911207_5_0_0__188999%2C655663110_268911207_2_0_0__109799&srepoch=1596588396&srpvid=ac42057565e70146&ucfs=1&from=searchresults#hotelTmpl 
