MIEJSCOWOŚĆ 	 WIELKOŚĆ 	 ODLEGŁOŚĆ DO MORZA 	 NAZWA 	 DATA 	 CENA ZA CAŁOŚĆ 	 CENA ZA DZIEŃ 	 NR TELEFONU 	 LINK 
Bagicz 	 0 	 0.69 km 	 Lošinj house Robinzon Studenčić Island Lošinj 	 17.08 - 26.08 	 0.00 zł 	 0.00 zł 	 --- 	 https://www.booking.com/hotel/hr/house-robinzon-studencic-island-losinj.html#hotelTmpl 
Bagicz 	 0 	 0.69 km 	 Family friendly seaside apartments Artatore, Losinj - 2475 	 17.08 - 26.08 	 0.00 zł 	 0.00 zł 	 --- 	 https://www.booking.com/hotel/hr/apartment-a-2475-c-artatore-losinj.html#hotelTmpl 
Bagicz 	 0 	 0.69 km 	 Apartment Artatore 2475b 	 17.08 - 26.08 	 0.00 zł 	 0.00 zł 	 --- 	 https://www.booking.com/hotel/hr/apartment-a-2475-b-artatore-losinj.html#hotelTmpl 
Bagicz 	 0 	 0.69 km 	 Apartment Ella 	 17.08 - 26.08 	 0.00 zł 	 0.00 zł 	 --- 	 https://www.booking.com/hotel/hr/apartment-ella-cunski.html#hotelTmpl 
Bagicz 	 0 	 0.69 km 	 Apartments by the sea Artatore, Losinj - 8022 	 17.08 - 26.08 	 0.00 zł 	 0.00 zł 	 --- 	 https://www.booking.com/hotel/hr/apartment-artatore-8022c.html#hotelTmpl 
Bagicz 	 0 	 0.69 km 	 Apartment Artatore 8022d 	 17.08 - 26.08 	 0.00 zł 	 0.00 zł 	 --- 	 https://www.booking.com/hotel/hr/apartment-artatore-8022d.html#hotelTmpl 
Bagicz 	 0 	 0.69 km 	 House with pool 	 17.08 - 26.08 	 0.00 zł 	 0.00 zł 	 --- 	 https://www.booking.com/hotel/hr/https-hr-airbnb-com-hosting-reservations-thread-916191773.html#hotelTmpl 
Bagicz 	 0 	 0.69 km 	 Apartments by the sea Artatore, Losinj - 8091 	 17.08 - 26.08 	 0.00 zł 	 0.00 zł 	 --- 	 https://www.booking.com/hotel/hr/apartment-artatore-8091a.html#hotelTmpl 
Bagicz 	 0 	 0.69 km 	 Apartments by the sea Artatore, Losinj - 7934 	 17.08 - 26.08 	 0.00 zł 	 0.00 zł 	 --- 	 https://www.booking.com/hotel/hr/apartment-a-7934-b-artatore-losinj.html#hotelTmpl 
Bagicz 	 0 	 0.69 km 	 Apartments by the sea Artatore, Losinj - 8005 	 17.08 - 26.08 	 0.00 zł 	 0.00 zł 	 --- 	 https://www.booking.com/hotel/hr/apartment-a-8005-a-artatore-losinj.html#hotelTmpl 
